chapter,sentence,entity1,entity2,relation
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,鸳鸯,香菱,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,鸳鸯,王夫人,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,鸳鸯,金钏,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,鸳鸯,彩云,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,鸳鸯,巧姐,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,紫鹃,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,雪雁,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,入画,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,香菱,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,王夫人,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,金钏,丫头
029.txt,<p>单表到了初一这一日，荣国府门前车辆纷纷，人马簇簇。那底下凡执事人等，闻得是贵妃作好事，贾母亲去拈香，正是初一日乃月之首日，况是端阳节间，因此凡动用的什物，一色都是齐全的，不同往日。少时，贾母等出来。贾母坐一乘八人大轿，李氏、凤姐儿、薛姨妈每人一乘四人轿，宝钗，黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。然后贾母的丫头鸳鸯，鹦鹉，琥珀，珍珠，林黛玉的丫头紫鹃，雪雁，春纤，宝钗的丫头莺儿，文杏，迎春的丫头司棋，绣桔，探春的丫头待书，翠墨、惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带着香菱，香菱的丫头臻儿、李氏的丫头素云、碧月，凤姐儿的丫头平儿、丰儿、小红，并王夫人两个丫头也要跟了凤姐儿去的金钏、彩云，奶子抱着大姐儿带着巧姐儿另在一车，还有两个丫头，一共又连上各房的老嬷嬷奶娘并跟出门的家人媳妇子，乌压压的占了一街的车。贾母等已经坐轿去了多远，这门前尚未坐完。这个说：“我不同你在一处”，那个说“你压了我们奶奶的包袱”，那边车上又说“蹭了我的花儿”，这边又说“碰折了我的扇子”，咭咭呱呱，说笑不绝。周瑞家的走来过去的说道：“姑娘们，这是街上，看人笑话。”说了两遍，方觉好了。前头的全副执事摆开，早已到了清虚观了。宝玉骑着马，在贾母轿前。街上人都站在两边。将至观前，只听钟鸣鼓响，早有张法官执香披衣，带领众道士在路旁迎接。贾母的轿刚至山门以内，贾母在轿内因看见有守门大帅并千里眼，顺风耳，当方土地，本境城隍各位泥胎圣像，便命住轿。贾珍带领各子弟上来迎接。凤姐儿知道鸳鸯等在后面，赶不上来搀贾母，自己下了轿，忙要上来搀。可巧有个十二三岁的小道士儿，拿着剪筒，照管剪各处蜡花，正欲得便且藏出去，不想一头撞在凤姐儿怀里。凤姐便一扬手，照脸一下，把那小孩子打了一个筋斗，骂道：“野牛杂种的，胡朝那里跑！”那小道士也不顾拾烛剪，爬起来往外还要跑。正值宝钗等下车，众婆娘媳妇正围随的风雨不透，但见一个小道士滚了出来，都喝声叫“拿，拿，拿！打，打，打！”</p>,林黛玉,彩云,丫头
